team,player_id,player_name,position,season,depth,targets,receptions,receiving_yards,receiving_air_yards,yards_after_catch,reception_td,reception_fumble_lost,PositionEncoded
NE,00-0026035,Danny Amendola,WR,2013,1.0,83.0,54.0,633.0,674.0,252.0,2.0,0.0,1
NE,00-0026035,Danny Amendola,WR,2014,2.0,42.0,27.0,200.0,315.0,74.0,1.0,0.0,1
NE,00-0026035,Danny Amendola,WR,2015,1.0,87.0,65.0,648.0,593.0,264.0,4.0,0.0,1
NE,00-0026035,Danny Amendola,WR,2016,1.0,29.0,23.0,243.0,255.0,73.0,4.0,1.0,1
NE,00-0026035,Danny Amendola,WR,2017,2.0,86.0,61.0,659.0,682.0,210.0,2.0,0.0,1
MIA,00-0026035,Danny Amendola,WR,2018,1.0,79.0,59.0,575.0,589.0,229.0,1.0,0.0,1
DET,00-0026035,Danny Amendola,WR,2019,1.0,97.0,62.0,678.0,855.0,207.0,2.0,0.0,1
DET,00-0026035,Danny Amendola,WR,2020,1.0,69.0,46.0,602.0,558.0,290.0,1.0,0.0,1
HOU,00-0026035,Danny Amendola,WR,2021,2.0,39.0,24.0,250.0,321.0,105.0,3.0,0.0,1
SF,00-0037828,Danny Gray,WR,2022,2.0,7.0,1.0,10.0,160.0,4.0,0.0,0.0,1
NE,00-0026019,Danny Woodhead,RB,2012,1.0,55.0,40.0,446.0,165.0,371.0,4.0,0.0,0
BAL,00-0026019,Danny Woodhead,RB,2017,2.0,39.0,33.0,200.0,108.0,118.0,0.0,0.0,0
SF,00-0034860,Dante Pettis,WR,2018,2.0,45.0,27.0,467.0,501.0,205.0,5.0,0.0,1
SF,00-0034860,Dante Pettis,WR,2019,2.0,24.0,11.0,109.0,189.0,23.0,2.0,0.0,1
SF,00-0034860,Dante Pettis,WR,2020,2.0,6.0,4.0,76.0,110.0,6.0,1.0,0.0,1
NYG,00-0034860,Dante Pettis,WR,2021,2.0,16.0,10.0,87.0,103.0,38.0,1.0,0.0,1
CHI,00-0034860,Dante Pettis,WR,2022,2.0,42.0,19.0,245.0,371.0,63.0,3.0,0.0,1
TB,00-0033854,Dare Ogunbowale,RB,2019,2.0,46.0,35.0,286.0,121.0,207.0,1.0,1.0,0
JAX,00-0033854,Dare Ogunbowale,RB,2020,2.0,20.0,10.0,54.0,17.0,63.0,0.0,0.0,0
JAX,00-0033854,Dare Ogunbowale,RB,2021,3.0,21.0,13.0,114.0,31.0,100.0,1.0,0.0,0
HOU,00-0033854,Dare Ogunbowale,RB,2022,3.0,26.0,20.0,104.0,-11.0,124.0,1.0,0.0,0
HOU,00-0033854,Dare Ogunbowale,RB,2023,2.0,7.0,2.0,18.0,31.0,5.0,1.0,0.0,0
SEA,00-0037093,Dareke Young,WR,2022,3.0,2.0,2.0,24.0,1.0,23.0,0.0,0.0,1
CLE,00-0031972,Darius Jennings,WR,2015,3.0,21.0,14.0,117.0,139.0,37.0,0.0,0.0,1
TEN,00-0031972,Darius Jennings,WR,2018,2.0,15.0,11.0,101.0,153.0,37.0,0.0,0.0,1
TEN,00-0031972,Darius Jennings,WR,2019,2.0,5.0,2.0,17.0,77.0,14.0,0.0,0.0,1
NYG,00-0035535,Darius Slayton,WR,2019,2.0,85.0,48.0,746.0,1178.0,192.0,8.0,1.0,1
NYG,00-0035535,Darius Slayton,WR,2020,2.0,96.0,50.0,751.0,1303.0,159.0,3.0,1.0,1
NYG,00-0035535,Darius Slayton,WR,2021,2.0,58.0,26.0,339.0,773.0,65.0,2.0,1.0,1
NYG,00-0035535,Darius Slayton,WR,2022,2.0,71.0,46.0,724.0,884.0,262.0,2.0,1.0,1
NYG,00-0035535,Darius Slayton,WR,2023,2.0,79.0,50.0,770.0,967.0,298.0,4.0,0.0,1
CHI,00-0036309,Darnell Mooney,WR,2020,2.0,99.0,61.0,633.0,1128.0,254.0,4.0,0.0,1
CHI,00-0036309,Darnell Mooney,WR,2021,1.0,141.0,81.0,1055.0,1556.0,381.0,5.0,0.0,1
CHI,00-0036309,Darnell Mooney,WR,2022,1.0,62.0,40.0,493.0,727.0,168.0,2.0,0.0,1
CHI,00-0036309,Darnell Mooney,WR,2023,1.0,61.0,31.0,414.0,630.0,181.0,2.0,0.0,1
KC,00-0034301,Darrel Williams,RB,2018,3.0,3.0,3.0,27.0,-7.0,34.0,1.0,0.0,0
KC,00-0034301,Darrel Williams,RB,2019,3.0,19.0,15.0,167.0,21.0,179.0,1.0,0.0,0
KC,00-0034301,Darrel Williams,RB,2020,3.0,27.0,18.0,118.0,-22.0,156.0,0.0,0.0,0
KC,00-0034301,Darrel Williams,RB,2021,2.0,57.0,47.0,452.0,82.0,435.0,2.0,0.0,0
ARI,00-0034301,Darrel Williams,RB,2022,3.0,8.0,4.0,9.0,-24.0,15.0,0.0,0.0,0
LA,00-0035664,Darrell Henderson,RB,2019,3.0,6.0,4.0,37.0,3.0,37.0,0.0,0.0,0
LA,00-0035664,Darrell Henderson,RB,2020,3.0,24.0,16.0,155.0,16.0,156.0,1.0,0.0,0
LA,00-0035664,Darrell Henderson,RB,2021,1.0,40.0,29.0,176.0,37.0,180.0,3.0,0.0,0
LA,00-0035664,Darrell Henderson,RB,2022,1.0,22.0,17.0,102.0,28.0,110.0,0.0,0.0,0
LA,00-0035664,Darrell Henderson,RB,2023,2.0,14.0,10.0,103.0,-9.0,134.0,0.0,0.0,0
DAL,00-0026144,Darren McFadden,RB,2015,2.0,54.0,40.0,330.0,-4.0,317.0,1.0,0.0,0
DAL,00-0026144,Darren McFadden,RB,2016,3.0,5.0,3.0,17.0,-10.0,25.0,0.0,0.0,0
DAL,00-0026144,Darren McFadden,RB,2017,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
NO,00-0023564,Darren Sproles,RB,2012,1.0,104.0,75.0,667.0,48.0,665.0,7.0,0.0,0
